Question,Answer
What are the main components of a biological neuron?,"1. Cell body (soma); 2. Dendrites (inputs); 3. Axon (outputs); 4. Synapses (connections between cells)"
What happens when the inputs to a biological neuron reach a certain threshold?,"An action potential (electrical pulse) is sent along the axon to the outputs."
What are the key elements of an artificial neuron in a neural network?,"1. Input edges, each with a weight; 2. Output edges (also with weights); 3. Activation level (a function of the inputs)"
How is the input function calculated in an artificial neuron?,"The input function is the weighted sum of the activation levels of inputs."
What is the activation function in an artificial neuron?,"The activation function <anki-mathjax>g(s)</anki-mathjax> is a non-linear function of the weighted sum of inputs <anki-mathjax>s</anki-mathjax>."
What was the original transfer function used in early neural networks?,"The step function, which outputs 1 if <anki-mathjax>s > 0</anki-mathjax> and 0 if <anki-mathjax>s < 0</anki-mathjax>."
What is linear separability in the context of perceptrons?,"A function is linearly separable if it can be separated by a linear boundary, such as a straight line."
What are some examples of linearly separable functions and their weight values in a perceptron?,"AND: <anki-mathjax>w_1 = w_2 = 1.0</anki-mathjax>, <anki-mathjax>w_0 = -1.5</anki-mathjax>; OR: <anki-mathjax>w_1 = w_2 = 1.0</anki-mathjax>, <anki-mathjax>w_0 = -0.5</anki-mathjax>; NOR: <anki-mathjax>w_1 = w_2 = -1.0</anki-mathjax>, <anki-mathjax>w_0 = 0.5</anki-mathjax>"
What is the Perceptron Learning Rule?,"Adjust the weights when the output is incorrect. If output is 0 but should be 1, increase weights. If output is 1 but should be 0, decrease weights. Repeat until the perceptron classifies data correctly, assuming linear separability."
What is a major limitation of perceptrons?,"Perceptrons cannot solve problems that are not linearly separable, such as XOR."
What is a possible solution for the limitation of perceptrons with non-linearly separable functions?,"Use a multi-layer neural network, where a combination of perceptrons can solve complex functions like XOR."
What historical event in 1969 impacted the research on perceptrons and neural networks?,"Minsky and Papert published a book highlighting the limitations of perceptrons, leading to a decline in funding for neural network research."
Who discovered the method for training multi-layer neural networks, and when did it become widely known?,"The method was discovered by Paul Werbos in 1976, but it became widely known after being rediscovered by Rumelhart, Hinton, and Williams in 1986."
How is the input to a neuron in a McCulloch-Pitts model calculated?,"The input <anki-mathjax>s</anki-mathjax> is calculated as: <anki-mathjax>s = w_1x_1 + w_2x_2 + w_0</anki-mathjax> where <anki-mathjax>w_1, w_2</anki-mathjax> are weights, <anki-mathjax>x_1, x_2</anki-mathjax> are inputs, and <anki-mathjax>w_0</anki-mathjax> is the bias weight (equal to <anki-mathjax>-\text{th}</anki-mathjax>, the threshold)."
What is the role of the transfer function <anki-mathjax>g(s)</anki-mathjax> in a perceptron?,"The transfer function <anki-mathjax>g(s)</anki-mathjax> determines the output of the perceptron based on the input <anki-mathjax>s</anki-mathjax>: <anki-mathjax>g(s) = \begin{cases} 1, & \text{if } s > 0 \\ 0, & \text{if } s \leq 0 \end{cases}</anki-mathjax> This is known as the step function."
What is the formula for updating weights in the Perceptron Learning Rule when the perceptron output is incorrect?,"The weights are updated as follows: If <anki-mathjax>g(s) = 0</anki-mathjax> but should be 1: <anki-mathjax>w_k \leftarrow w_k + \eta x_k</anki-mathjax>, <anki-mathjax>w_0 \leftarrow w_0 + \eta</anki-mathjax>; If <anki-mathjax>g(s) = 1</anki-mathjax> but should be 0: <anki-mathjax>w_k \leftarrow w_k - \eta x_k</anki-mathjax>, <anki-mathjax>w_0 \leftarrow w_0 - \eta</anki-mathjax> where <anki-mathjax>\eta > 0</anki-mathjax> is the learning rate."
What is the condition for the perceptron to correctly classify all data points?,"The perceptron will eventually classify all data correctly if the data are linearly separable."
What is the mathematical representation of the step function?,"The step function <anki-mathjax>g(s)</anki-mathjax> is represented as: <anki-mathjax>g(s) = \begin{cases} 1, & \text{if } s > 0 \\ 0, & \text{if } s < 0 \end{cases}</anki-mathjax> For the Heaviside function (a variation), <anki-mathjax>g(0) = 0.5</anki-mathjax>."
Provide the weight values for a perceptron that computes the AND function.,"<anki-mathjax>w_1 = 1.0</anki-mathjax>, <anki-mathjax>w_2 = 1.0</anki-mathjax>, <anki-mathjax>w_0 = -1.5</anki-mathjax>"
Provide the weight values for a perceptron that computes the OR function.,"<anki-mathjax>w_1 = 1.0</anki-mathjax>, <anki-mathjax>w_2 = 1.0</anki-mathjax>, <anki-mathjax>w_0 = -0.5</anki-mathjax>"
Provide the weight values for a perceptron that computes the NOR function.,"<anki-mathjax>w_1 = -1.0</anki-mathjax>, <anki-mathjax>w_2 = -1.0</anki-mathjax>, <anki-mathjax>w_0 = 0.5</anki-mathjax>"
What is the perceptron learning rule for adjusting weights in terms of the weighted sum <anki-mathjax>s</anki-mathjax>?,"If the perceptron output <anki-mathjax>g(s)</anki-mathjax> is incorrect, adjust weights as: <anki-mathjax>w_k \leftarrow w_k + \eta (y - g(s)) x_k</anki-mathjax>, <anki-mathjax>w_0 \leftarrow w_0 + \eta (y - g(s))</anki-mathjax> where <anki-mathjax>y</anki-mathjax> is the desired output, <anki-mathjax>\eta</anki-mathjax> is the learning rate, and <anki-mathjax>x_k</anki-mathjax> are the inputs."
What is the condition for a function to be linearly separable?,"A function is linearly separable if there exists a hyperplane that can separate the data points corresponding to different outputs without error."
How can the XOR function be implemented using perceptrons?,"The XOR function can be implemented as a combination of AND, OR, and NOR perceptrons: <anki-mathjax>\text{XOR}(x_1, x_2) = (\text{AND}(x_1, \text{NOT}(x_2)) \text{OR} (\text{NOT}(x_1), x_2))</anki-mathjax> OR using a multi-layer network where intermediate layers represent AND, NOR, and OR functions."
What is the role of the bias <anki-mathjax>w_0</anki-mathjax> in a perceptron?,"The bias <anki-mathjax>w_0</anki-mathjax> shifts the decision boundary, allowing the perceptron to classify data points even when the input values are small or zero."
